Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
10,Sat,2018-09-29,15:00 (19:30),Blackburn,2–2,Nott'ham Forest,14440,Ewood Park,Andy Madley,Match Report,
10,Sat,2018-09-29,15:00 (19:30),Preston,2–3,West Brom,14099,Deepdale Stadium,Tony Harrington,Match Report,
10,Sat,2018-09-29,15:00 (19:30),Swansea City,3–0,QPR,18633,Liberty Stadium,Kevin Friend,Match Report,
10,Sat,2018-09-29,15:00 (19:30),Brentford,2–2,Reading,10045,Griffin Park,Geoff Eltringham,Match Report,
10,Sat,2018-09-29,15:00 (19:30),Bolton,1–0,Derby County,14096,Macron Stadium,Scott Duncan,Match Report,
10,Sat,2018-09-29,15:00 (19:30),Birmingham City,2–2,Ipswich Town,21612,St Andrew's Trillion Trophy Stadium,John Brooks,Match Report,
10,Sat,2018-09-29,15:00 (19:30),Hull City,1–1,Middlesbrough,13185,Kingston Communications Stadium,Darren England,Match Report,
10,Sat,2018-09-29,17:30 (22:00),Rotherham Utd,2–2,Stoke City,9706,New York Stadium,Tony Harrington,Match Report,
,,,,,,,,,,,
11,Tue,2018-10-02,19:45 (00:15),Aston Villa,3–3,Preston,27331,Villa Park,Peter Bankes,Match Report,
11,Tue,2018-10-02,19:45 (00:15),Hull City,0–1,Leeds United,13798,Kingston Communications Stadium,Darren Bond,Match Report,
11,Tue,2018-10-02,19:45 (00:15),Brentford,1–1,Birmingham City,9715,Griffin Park,Tim Robinson,Match Report,
11,Tue,2018-10-02,19:45 (00:15),Ipswich Town,0–2,Middlesbrough,13612,Portman Road Stadium,Andy Madley,Match Report,
11,Tue,2018-10-02,19:45 (00:15),Wigan Athletic,0–0,Swansea City,8964,The DW Stadium,John Brooks,Match Report,
11,Tue,2018-10-02,20:00 (00:30),Stoke City,2–0,Bolton,22116,Bet365 Stadium,Jeremy Simpson,Match Report,
11,Tue,2018-10-02,20:00 (00:30),Reading,0–1,QPR,13568,Madejski Stadium,Andrew Davies,Match Report,
11,Wed,2018-10-03,19:45 (00:15),Blackburn,0–2,Sheffield Utd,14440,Ewood Park,Robert Jones,Match Report,
11,Wed,2018-10-03,19:45 (00:15),Derby County,1–1,Norwich City,24236,iPro Stadium,Geoff Eltringham,Match Report,
11,Wed,2018-10-03,19:45 (00:15),Rotherham Utd,0–0,Bristol City,8187,New York Stadium,Gavin Ward,Match Report,
11,Wed,2018-10-03,19:45 (00:15),Nott'ham Forest,2–2,Millwall,25753,The City Ground,Jonathan Moss,Match Report,
11,Wed,2018-10-03,19:45 (00:15),Sheffield Weds,2–2,West Brom,22150,Hillsborough Stadium,Oliver Langford,Match Report,
,,,,,,,,,,,
12,Sat,2018-10-06,12:30 (17:00),Leeds United,1–1,Brentford,31880,Elland Road,Jeremy Simpson,Match Report,
12,Sat,2018-10-06,15:00 (19:30),Preston,4–0,Wigan Athletic,15280,Deepdale Stadium,Lee Probert,Match Report,
12,Sat,2018-10-06,15:00 (19:30),QPR,1–1,Derby County,14727,Loftus Road Stadium,David Webb,Match Report,
12,Sat,2018-10-06,15:00 (19:30),West Brom,4–1,Reading,22865,The Hawthorns,Darren England,Match Report,
12,Sat,2018-10-06,15:00 (19:30),Swansea City,2–3,Ipswich Town,18810,Liberty Stadium,Oliver Langford,Match Report,
12,Sat,2018-10-06,15:00 (19:30),Birmingham City,3–1,Rotherham Utd,19795,St Andrew's Trillion Trophy Stadium,Keith Stroud,Match Report,
12,Sat,2018-10-06,15:00 (19:30),Sheffield Utd,1–0,Hull City,25360,Bramall Lane,Peter Bankes,Match Report,
12,Sat,2018-10-06,15:00 (19:30),Norwich City,0–1,Stoke City,24992,Carrow Road,David Coote,Match Report,
12,Sat,2018-10-06,15:00 (19:30),Middlesbrough,0–2,Nott'ham Forest,24299,Riverside Stadium,John Brooks,Match Report,
12,Sat,2018-10-06,15:00 (19:30),Millwall,2–1,Aston Villa,14491,The Den,Tony Harrington,Match Report,
12,Sat,2018-10-06,17:30 (22:00),Bolton,0–1,Blackburn,15461,Macron Stadium,Darren Bond,Match Report,
12,Sun,2018-10-07,13:30 (18:00),Bristol City,1–2,Sheffield Weds,20102,Ashton Gate Stadium,Andrew Davies,Match Report,
,,,,,,,,,,,
13,Fri,2018-10-19,19:45 (00:15),Sheffield Weds,1–2,Middlesbrough,23284,Hillsborough Stadium,Peter Bankes,Match Report,
13,Sat,2018-10-20,12:00 (16:30),Blackburn,2–1,Leeds United,20929,Ewood Park,Darren England,Match Report,
13,Sat,2018-10-20,15:00 (19:30),Brentford,0–1,Bristol City,11182,Griffin Park,Robert Jones,Match Report,
13,Sat,2018-10-20,15:00 (19:30),Hull City,1–1,Preston,12066,Kingston Communications Stadium,Gavin Ward,Match Report,
13,Sat,2018-10-20,15:00 (19:30),Stoke City,0–1,Birmingham City,28160,Bet365 Stadium,Roger East,Match Report,
13,Sat,2018-10-20,15:00 (19:30),Rotherham Utd,1–1,Bolton,10011,New York Stadium,Tim Robinson,Match Report,
